m_name,depth,t_creation,t_serialization,t_deserialization,mem,serialized_size
msgspec,81,0.0084,0.0027,0.0047,3.79,1.08
pydantic,81,0.0926,0.0429,0.1041,46.12,1.62
dataclass,81,0.0215,0.0106,0.0083,3.35,1.08
msgspec,82,0.0088,0.0023,0.0049,1.15,1.1
pydantic,82,0.092,0.043,0.104,47.25,1.64
dataclass,82,0.0243,0.0101,0.0081,3.09,1.1
msgspec,83,0.0112,0.003,0.0052,-1.78,1.11
pydantic,83,0.0973,0.0423,0.1088,50.7,1.66
dataclass,83,0.0206,0.011,0.008,0.56,1.11
msgspec,84,0.0102,0.0028,0.0049,3.82,1.12
pydantic,84,0.095,0.0424,0.1096,49.03,1.68
dataclass,84,0.0212,0.0094,0.0084,3.19,1.12
msgspec,85,0.0105,0.0026,0.0052,-1.56,1.14
pydantic,85,0.0939,0.0442,0.1051,53.75,1.7
dataclass,85,0.0217,0.0093,0.0082,3.58,1.14
msgspec,86,0.0089,0.0024,0.0051,1.19,1.15
pydantic,86,0.0979,0.043,0.1079,51.55,1.72
dataclass,86,0.0194,0.0102,0.0083,3.04,1.15
msgspec,87,0.0093,0.0027,0.0052,-1.51,1.16
pydantic,87,0.0954,0.0434,0.1116,55.73,1.74
dataclass,87,0.0206,0.0123,0.0087,3.18,1.16
msgspec,88,0.01,0.0028,0.0052,1.3,1.18
pydantic,88,0.0955,0.0467,0.1121,53.91,1.76
dataclass,88,0.0193,0.0121,0.0085,3.21,1.18
msgspec,89,0.0094,0.0027,0.0052,1.28,1.19
pydantic,89,0.0993,0.0483,0.1143,55.32,1.78
dataclass,89,0.0226,0.0112,0.0097,3.14,1.19
msgspec,90,0.01,0.0025,0.0057,1.21,1.2
pydantic,90,0.0996,0.0483,0.1154,56.37,1.8
dataclass,90,0.021,0.0117,0.0122,0.25,1.2
msgspec,91,0.0108,0.003,0.0055,3.78,1.22
pydantic,91,0.1005,0.0463,0.1157,57.57,1.82
dataclass,91,0.0206,0.0107,0.0088,0.82,1.22
msgspec,92,0.0097,0.003,0.0064,3.85,1.23
pydantic,92,0.0991,0.0467,0.1227,58.51,1.84
dataclass,92,0.0218,0.0115,0.01,0.24,1.23
msgspec,93,0.0111,0.0037,0.0056,3.9,1.24
pydantic,93,0.105,0.049,0.1189,59.31,1.86
dataclass,93,0.0237,0.0109,0.0094,3.67,1.24
msgspec,94,0.011,0.0027,0.0062,1.3,1.26
pydantic,94,0.1047,0.0507,0.1207,59.04,1.88
dataclass,94,0.021,0.0105,0.0093,3.22,1.26
msgspec,95,0.0116,0.0028,0.0055,1.39,1.27
pydantic,95,0.1057,0.0519,0.1233,60.49,1.9
dataclass,95,0.0236,0.0124,0.0101,3.18,1.27
msgspec,96,0.0119,0.0033,0.0057,1.35,1.28
pydantic,96,0.1072,0.0633,0.1457,59.75,1.92
dataclass,96,0.0267,0.0237,0.0125,0.67,1.28
msgspec,97,0.0178,0.0033,0.0063,3.92,1.3
pydantic,97,0.1581,0.0586,0.1543,60.5,1.94
dataclass,97,0.0295,0.0133,0.0133,3.58,1.3
msgspec,98,0.0115,0.0042,0.0098,1.33,1.31
pydantic,98,0.1489,0.0689,0.1512,60.79,1.96
dataclass,98,0.0324,0.0153,0.0106,3.48,1.31
